api-gateway-1  | 2026-06-27T16:16:07.227355148Z {"timestamp":"2026-06-27T16:16:07.226784423Z","level":"ERROR","msg":"failed to initialize OpenTelemetry resource","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","error.message":"error detecting resource: user: Current requires cgo or $USER set in environment"}
api-gateway-1  | 2026-06-27T16:16:07.227995257Z {"timestamp":"2026-06-27T16:16:07.227778914Z","level":"INFO","msg":"api-gateway Quilkin UDP listener active","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","addr":":26000"}
api-gateway-1  | 2026-06-27T16:16:07.228006306Z {"timestamp":"2026-06-27T16:16:07.227835778Z","level":"INFO","msg":"api-gateway listening","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","addr":":8080","market_url":"http://market:8081"}
api-gateway-1  | 2026-06-27T16:16:29.811137400Z {"timestamp":"2026-06-27T16:16:29.81080872Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":581}
api-gateway-1  | 2026-06-27T16:16:29.879974400Z {"timestamp":"2026-06-27T16:16:29.87975408Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-991a1af1-7368-49d5-a655-96e67d45f876","duration_ms":67}
api-gateway-1  | 2026-06-27T16:16:30.087727140Z {"timestamp":"2026-06-27T16:16:30.087530134Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":581}
api-gateway-1  | 2026-06-27T16:16:30.110863771Z {"timestamp":"2026-06-27T16:16:30.110430436Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-9ed7a82d-fc61-4c5a-81c5-107b35cb5c25","duration_ms":22}
api-gateway-1  | 2026-06-27T16:16:30.304121223Z {"timestamp":"2026-06-27T16:16:30.30393339Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":581}
api-gateway-1  | 2026-06-27T16:16:30.325690914Z {"timestamp":"2026-06-27T16:16:30.325483664Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-e9931c4e-5bdb-45ac-955b-d840def7d6ab","duration_ms":21}
api-gateway-1  | 2026-06-27T16:16:30.501572673Z {"timestamp":"2026-06-27T16:16:30.501399387Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":581}
api-gateway-1  | 2026-06-27T16:16:30.503693008Z {"timestamp":"2026-06-27T16:16:30.503497648Z","level":"WARN","msg":"udp downstream call failed","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-49bea9a4-f1b7-4210-a097-302babb5be97","code":"invalid_argument","duration_ms":1}
api-gateway-1  | 2026-06-27T16:16:30.691900634Z {"timestamp":"2026-06-27T16:16:30.691731906Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":582}
api-gateway-1  | 2026-06-27T16:16:30.694142330Z {"timestamp":"2026-06-27T16:16:30.693950029Z","level":"WARN","msg":"udp downstream call failed","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-fd1b1823-5441-4ee3-ac96-1ec9e060813c","code":"invalid_argument","duration_ms":2}
api-gateway-1  | 2026-06-27T16:16:30.893146037Z {"timestamp":"2026-06-27T16:16:30.892916086Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":580}
api-gateway-1  | 2026-06-27T16:16:30.895220959Z {"timestamp":"2026-06-27T16:16:30.894953998Z","level":"WARN","msg":"udp downstream call failed","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-81346805-3437-446b-b0a1-5f4f33fff05a","code":"invalid_argument","duration_ms":1}
api-gateway-1  | 2026-06-27T16:16:31.095251500Z {"timestamp":"2026-06-27T16:16:31.094999221Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":581}
