migrate-1  | 2026-06-27T16:04:05.553040368Z  ?column? 
migrate-1  | 2026-06-27T16:04:05.553084462Z ----------
migrate-1  | 2026-06-27T16:04:05.553087793Z         1
migrate-1  | 2026-06-27T16:04:05.553090033Z (1 row)
migrate-1  | 2026-06-27T16:04:05.553092182Z 
migrate-1  | 2026-06-27T16:04:05.613276688Z DROP SCHEMA
migrate-1  | 2026-06-27T16:04:05.613297592Z CREATE SCHEMA
migrate-1  | 2026-06-27T16:04:05.680669139Z CREATE EXTENSION
migrate-1  | 2026-06-27T16:04:05.686969622Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:05.688515003Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:05.699396618Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:05.708108299Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:05.716137447Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:05.723814608Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:05.731962062Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:05.745601516Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:05.765824057Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:05.768040527Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:149: NOTICE:  constraint "idempotency_record_result_batch_fk" of relation "idempotency_record" does not exist, skipping
migrate-1  | 2026-06-27T16:04:05.768818369Z ALTER TABLE
migrate-1  | 2026-06-27T16:04:05.774088050Z ALTER TABLE
migrate-1  | 2026-06-27T16:04:05.782854941Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:05.783244515Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:173: NOTICE:  column "step_output" of relation "settlement_step" already exists, skipping
migrate-1  | 2026-06-27T16:04:05.784025342Z ALTER TABLE
migrate-1  | 2026-06-27T16:04:05.797194143Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:05.807382004Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:05.818176127Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:05.823487871Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:05.832783207Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:05.842791165Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:05.852432905Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:05.859127242Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:05.860499174Z ALTER TABLE
migrate-1  | 2026-06-27T16:04:05.861639740Z ALTER TABLE
migrate-1  | 2026-06-27T16:04:05.862807687Z ALTER TABLE
migrate-1  | 2026-06-27T16:04:05.864231081Z ALTER TABLE
migrate-1  | 2026-06-27T16:04:05.865292874Z ALTER TABLE
migrate-1  | 2026-06-27T16:04:05.867467592Z ALTER TABLE
migrate-1  | 2026-06-27T16:04:05.873413543Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:05.875380243Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:05.876875824Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:05.878439782Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:498: NOTICE:  trigger "wallet_ledger_append_only_trigger" for relation "wallet_ledger" does not exist, skipping
migrate-1  | 2026-06-27T16:04:05.878463637Z DROP TRIGGER
migrate-1  | 2026-06-27T16:04:05.879694409Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:04:05.879947490Z DROP TRIGGER
migrate-1  | 2026-06-27T16:04:05.879947833Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:504: NOTICE:  trigger "item_stack_ledger_append_only_trigger" for relation "item_stack_ledger" does not exist, skipping
migrate-1  | 2026-06-27T16:04:05.881060691Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:04:05.881362288Z DROP TRIGGER
migrate-1  | 2026-06-27T16:04:05.881392242Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:510: NOTICE:  trigger "item_stack_ledger_insert_integrity_trigger" for relation "item_stack_ledger" does not exist, skipping
migrate-1  | 2026-06-27T16:04:05.882392518Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:04:05.890431422Z CREATE TABLE
migrate-1  | 2026-06-27T16:04:05.895065281Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:05.900527501Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:05.905572236Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:05.911063908Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:05.916152447Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:05.919756535Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:05.925274953Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:05.931098658Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:05.934570513Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:05.938893001Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:05.943302207Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:05.950004755Z CREATE INDEX
migrate-1  | 2026-06-27T16:04:05.952062744Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:05.953667739Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:05.953990303Z DROP TRIGGER
migrate-1  | 2026-06-27T16:04:05.954013832Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:607: NOTICE:  trigger "trade_instance_remaining_quantity_invariant_trigger" for relation "trade_instance" does not exist, skipping
migrate-1  | 2026-06-27T16:04:05.955595111Z CREATE TRIGGER
