otel-collector-1  | 2026-06-27T16:15:57.870685775Z {"level":"info","ts":"2026-06-27T16:15:57.870Z","caller":"otelconftelemetry/tracer.go:47","msg":"Internal trace telemetry disabled","resource":{"service.instance.id":"e979d08d-b420-4a55-8be8-ee111fab52ef","service.name":"otelcol-contrib","service.version":"0.153.0"}}
otel-collector-1  | 2026-06-27T16:15:57.874516243Z {"level":"info","ts":"2026-06-27T16:15:57.874Z","caller":"memorylimiter@v0.153.0/memorylimiter.go:71","msg":"Memory limiter configured","resource":{"service.instance.id":"e979d08d-b420-4a55-8be8-ee111fab52ef","service.name":"otelcol-contrib","service.version":"0.153.0"},"otelcol.component.kind":"processor","limit_mib":256,"spike_limit_mib":64,"check_interval":1}
otel-collector-1  | 2026-06-27T16:15:57.878634664Z {"level":"info","ts":"2026-06-27T16:15:57.878Z","caller":"service@v0.153.0/service.go:241","msg":"Starting otelcol-contrib...","resource":{"service.instance.id":"e979d08d-b420-4a55-8be8-ee111fab52ef","service.name":"otelcol-contrib","service.version":"0.153.0"},"Version":"0.153.0","NumCPU":16}
otel-collector-1  | 2026-06-27T16:15:57.878661693Z {"level":"info","ts":"2026-06-27T16:15:57.878Z","caller":"extensions/extensions.go:41","msg":"Starting extensions...","resource":{"service.instance.id":"e979d08d-b420-4a55-8be8-ee111fab52ef","service.name":"otelcol-contrib","service.version":"0.153.0"}}
otel-collector-1  | 2026-06-27T16:15:57.878671319Z {"level":"info","ts":"2026-06-27T16:15:57.878Z","caller":"extensions/extensions.go:45","msg":"Extension is starting...","resource":{"service.instance.id":"e979d08d-b420-4a55-8be8-ee111fab52ef","service.name":"otelcol-contrib","service.version":"0.153.0"},"otelcol.component.id":"health_check","otelcol.component.kind":"extension"}
otel-collector-1  | 2026-06-27T16:15:57.879302482Z {"level":"info","ts":"2026-06-27T16:15:57.878Z","caller":"healthcheckextension@v0.153.0/healthcheckextension.go:32","msg":"Starting health_check extension","resource":{"service.instance.id":"e979d08d-b420-4a55-8be8-ee111fab52ef","service.name":"otelcol-contrib","service.version":"0.153.0"},"otelcol.component.id":"health_check","otelcol.component.kind":"extension","config":{"NetAddr":{"Endpoint":"0.0.0.0:13133","Transport":"tcp","DialerConfig":{"Timeout":0}},"TLS":{},"CORS":{},"Auth":{},"MaxRequestBodySize":0,"IncludeMetadata":false,"ResponseHeaders":null,"CompressionAlgorithms":null,"ReadTimeout":0,"ReadHeaderTimeout":0,"WriteTimeout":0,"IdleTimeout":0,"Middlewares":null,"KeepAlivesEnabled":false,"Path":"/","ResponseBody":null,"CheckCollectorPipeline":{"Enabled":false,"Interval":"5m","ExporterFailureThreshold":5},"UseV2":false,"GRPCConfig":null,"HTTPConfig":null,"ComponentHealthConfig":null}}
otel-collector-1  | 2026-06-27T16:15:57.879773064Z {"level":"info","ts":"2026-06-27T16:15:57.879Z","caller":"extensions/extensions.go:62","msg":"Extension started.","resource":{"service.instance.id":"e979d08d-b420-4a55-8be8-ee111fab52ef","service.name":"otelcol-contrib","service.version":"0.153.0"},"otelcol.component.id":"health_check","otelcol.component.kind":"extension"}
otel-collector-1  | 2026-06-27T16:15:57.880270531Z {"level":"info","ts":"2026-06-27T16:15:57.880Z","caller":"otlpreceiver@v0.153.0/otlp.go:120","msg":"Starting GRPC server","resource":{"service.instance.id":"e979d08d-b420-4a55-8be8-ee111fab52ef","service.name":"otelcol-contrib","service.version":"0.153.0"},"otelcol.component.id":"otlp","otelcol.component.kind":"receiver","endpoint":"[::]:4317"}
otel-collector-1  | 2026-06-27T16:15:57.880451485Z {"level":"info","ts":"2026-06-27T16:15:57.880Z","caller":"otlpreceiver@v0.153.0/otlp.go:175","msg":"Starting HTTP server","resource":{"service.instance.id":"e979d08d-b420-4a55-8be8-ee111fab52ef","service.name":"otelcol-contrib","service.version":"0.153.0"},"otelcol.component.id":"otlp","otelcol.component.kind":"receiver","endpoint":"[::]:4318"}
otel-collector-1  | 2026-06-27T16:15:57.880622948Z {"level":"info","ts":"2026-06-27T16:15:57.880Z","caller":"healthcheck/handler.go:131","msg":"Health Check state change","resource":{"service.instance.id":"e979d08d-b420-4a55-8be8-ee111fab52ef","service.name":"otelcol-contrib","service.version":"0.153.0"},"otelcol.component.id":"health_check","otelcol.component.kind":"extension","status":"ready"}
otel-collector-1  | 2026-06-27T16:15:57.880687900Z {"level":"info","ts":"2026-06-27T16:15:57.880Z","caller":"service@v0.153.0/service.go:264","msg":"Everything is ready. Begin running and processing data.","resource":{"service.instance.id":"e979d08d-b420-4a55-8be8-ee111fab52ef","service.name":"otelcol-contrib","service.version":"0.153.0"}}
otel-collector-1  | 2026-06-27T16:16:01.886264249Z {"level":"info","ts":"2026-06-27T16:16:01.886Z","msg":"Logs","resource":{"service.instance.id":"e979d08d-b420-4a55-8be8-ee111fab52ef","service.name":"otelcol-contrib","service.version":"0.153.0"},"otelcol.component.id":"debug","otelcol.component.kind":"exporter","otelcol.signal":"logs","resource logs":1,"log records":4}
otel-collector-1  | 2026-06-27T16:16:01.886296171Z {"level":"info","ts":"2026-06-27T16:16:01.886Z","msg":"ResourceLog #0 process.runtime.description=rustc 1.96.0 (ac68faa20 2026-05-25) service.namespace=eve-trade deployment.environment=integration observability.run_id=local-20260627T161230Z-9e14916a-cc3bea process.command_args=[\"/app/trade-settlement\"] process.runtime.version=1.96.0 telemetry.sdk.name=opentelemetry process.pid=1 host.arch=x86_64 telemetry.sdk.version=0.31.0 os.type=linux service.version=0.1.0 telemetry.sdk.language=rust service.language=rust service.name=trade-settlement deployment.environment.name=Prod process.runtime.name=rustc\nScopeLog #0 summer_grpc\ntonic grpc service bind tcp listener: 0.0.0.0:9092 \nScopeLog #0 log\nsummer_grpc::GrpcPlugin plugin registered log.target=summer::app log.module_path=summer::app log.file=/usr/local/cargo/registry/src/index.crates.io-1949cf8c6b5b557f/summer-0.7.1/src/app.rs log.line=315\nsummer_sqlx::SqlxPlugin plugin registered log.target=summer::app log.module_path=summer::app log.file=/usr/local/cargo/registry/src/index.crates.io-1949cf8c6b5b557f/summer-0.7.1/src/app.rs log.line=315\nScopeLog #0 summer_sqlx\nsqlx connection success \n","resource":{"service.instance.id":"e979d08d-b420-4a55-8be8-ee111fab52ef","service.name":"otelcol-contrib","service.version":"0.153.0"},"otelcol.component.id":"debug","otelcol.component.kind":"exporter","otelcol.signal":"logs"}
otel-collector-1  | 2026-06-27T16:16:05.880660422Z {"level":"info","ts":"2026-06-27T16:16:05.880Z","msg":"Traces","resource":{"service.instance.id":"e979d08d-b420-4a55-8be8-ee111fab52ef","service.name":"otelcol-contrib","service.version":"0.153.0"},"otelcol.component.id":"debug","otelcol.component.kind":"exporter","otelcol.signal":"traces","resource spans":1,"spans":3}
