rabbitmq-1  | 2026-06-27T16:04:01.538537177Z =INFO REPORT==== 27-Jun-2026::16:04:01.522318 ===
rabbitmq-1  | 2026-06-27T16:04:01.538575226Z     alarm_handler: {set,{system_memory_high_watermark,[]}}
rabbitmq-1  | 2026-06-27T16:04:08.213837303Z 2026-06-27 16:04:08.200944+00:00 [notice] <0.44.0> Application syslog exited with reason: stopped
rabbitmq-1  | 2026-06-27T16:04:08.213998728Z 2026-06-27 16:04:08.213340+00:00 [notice] <0.254.0> Logging: switching to configured handler(s); following messages may not be visible in this log output
rabbitmq-1  | 2026-06-27T16:04:08.217548859Z [38;5;87m2026-06-27 16:04:08.217033+00:00 [notice] <0.254.0> Logging: configured log handlers are now ACTIVE[0m
rabbitmq-1  | 2026-06-27T16:04:08.246057489Z 2026-06-27 16:04:08.245600+00:00 [info] <0.254.0> ra: starting system quorum_queues[0m
rabbitmq-1  | 2026-06-27T16:04:08.246152348Z 2026-06-27 16:04:08.245832+00:00 [info] <0.254.0> starting Ra system: quorum_queues in directory: /var/lib/rabbitmq/mnesia/rabbit@cbed70e1a17b/quorum/rabbit@cbed70e1a17b[0m
rabbitmq-1  | 2026-06-27T16:04:08.414711813Z 2026-06-27 16:04:08.414026+00:00 [info] <0.270.0> ra system 'quorum_queues' running pre init for 0 registered servers[0m
rabbitmq-1  | 2026-06-27T16:04:08.440041466Z 2026-06-27 16:04:08.439156+00:00 [info] <0.271.0> ra: meta data store initialised for system quorum_queues. 0 record(s) recovered[0m
rabbitmq-1  | 2026-06-27T16:04:08.468902427Z [38;5;87m2026-06-27 16:04:08.468456+00:00 [notice] <0.276.0> WAL: ra_log_wal init, open tbls: ra_log_open_mem_tables, closed tbls: ra_log_closed_mem_tables[0m
rabbitmq-1  | 2026-06-27T16:04:08.513150113Z 2026-06-27 16:04:08.512577+00:00 [info] <0.254.0> ra: starting system coordination[0m
rabbitmq-1  | 2026-06-27T16:04:08.513194952Z 2026-06-27 16:04:08.512706+00:00 [info] <0.254.0> starting Ra system: coordination in directory: /var/lib/rabbitmq/mnesia/rabbit@cbed70e1a17b/coordination/rabbit@cbed70e1a17b[0m
rabbitmq-1  | 2026-06-27T16:04:08.515424968Z 2026-06-27 16:04:08.515068+00:00 [info] <0.284.0> ra system 'coordination' running pre init for 0 registered servers[0m
rabbitmq-1  | 2026-06-27T16:04:08.516484077Z 2026-06-27 16:04:08.516021+00:00 [info] <0.285.0> ra: meta data store initialised for system coordination. 0 record(s) recovered[0m
rabbitmq-1  | 2026-06-27T16:04:08.516701023Z [38;5;87m2026-06-27 16:04:08.516356+00:00 [notice] <0.290.0> WAL: ra_coordination_log_wal init, open tbls: ra_coordination_log_open_mem_tables, closed tbls: ra_coordination_log_closed_mem_tables[0m
rabbitmq-1  | 2026-06-27T16:04:08.526349681Z 2026-06-27 16:04:08.525715+00:00 [info] <0.254.0> ra: starting system coordination[0m
rabbitmq-1  | 2026-06-27T16:04:08.527212432Z 2026-06-27 16:04:08.525871+00:00 [info] <0.254.0> starting Ra system: coordination in directory: /var/lib/rabbitmq/mnesia/rabbit@cbed70e1a17b/coordination/rabbit@cbed70e1a17b[0m
rabbitmq-1  | 2026-06-27T16:04:08.828052385Z 2026-06-27 16:04:08.827517+00:00 [info] <0.254.0> Waiting for Khepri leader for 30000 ms, 9 retries left[0m
rabbitmq-1  | 2026-06-27T16:04:08.843182801Z [38;5;87m2026-06-27 16:04:08.842661+00:00 [notice] <0.294.0> RabbitMQ metadata store: candidate -> leader in term: 1 machine version: 1[0m
rabbitmq-1  | 2026-06-27T16:04:08.873959880Z 2026-06-27 16:04:08.873443+00:00 [info] <0.254.0> Khepri leader elected[0m
rabbitmq-1  | 2026-06-27T16:04:08.873990769Z 2026-06-27 16:04:08.873631+00:00 [info] <0.254.0> Waiting for Khepri projections for 30000 ms, 9 retries left[0m
rabbitmq-1  | 2026-06-27T16:04:09.927563449Z 2026-06-27 16:04:09.926720+00:00 [info] <0.254.0> [0m
rabbitmq-1  | 2026-06-27T16:04:09.927609968Z 2026-06-27 16:04:09.926720+00:00 [info] <0.254.0>  Starting RabbitMQ 3.13.7 on Erlang 26.2.5.16 [jit][0m
rabbitmq-1  | 2026-06-27T16:04:09.927614966Z 2026-06-27 16:04:09.926720+00:00 [info] <0.254.0>  Copyright (c) 2007-2024 Broadcom Inc and/or its subsidiaries[0m
rabbitmq-1  | 2026-06-27T16:04:09.927618597Z 2026-06-27 16:04:09.926720+00:00 [info] <0.254.0>  Licensed under the MPL 2.0. Website: https://rabbitmq.com[0m
rabbitmq-1  | 2026-06-27T16:04:09.928307989Z 
rabbitmq-1  | 2026-06-27T16:04:09.928334690Z   ##  ##      RabbitMQ 3.13.7
rabbitmq-1  | 2026-06-27T16:04:09.928339080Z   ##  ##
rabbitmq-1  | 2026-06-27T16:04:09.928342710Z   ##########  Copyright (c) 2007-2024 Broadcom Inc and/or its subsidiaries
rabbitmq-1  | 2026-06-27T16:04:09.928346351Z   ######  ##
rabbitmq-1  | 2026-06-27T16:04:09.928349516Z   ##########  Licensed under the MPL 2.0. Website: https://rabbitmq.com
rabbitmq-1  | 2026-06-27T16:04:09.928353006Z 
rabbitmq-1  | 2026-06-27T16:04:09.928356071Z   Erlang:      26.2.5.16 [jit]
rabbitmq-1  | 2026-06-27T16:04:09.928359683Z   TLS Library: OpenSSL - OpenSSL 3.1.8 11 Feb 2025
rabbitmq-1  | 2026-06-27T16:04:09.928363291Z   Release series support status: see https://www.rabbitmq.com/release-information
rabbitmq-1  | 2026-06-27T16:04:09.928366551Z 
rabbitmq-1  | 2026-06-27T16:04:09.928369701Z   Doc guides:  https://www.rabbitmq.com/docs
rabbitmq-1  | 2026-06-27T16:04:09.928372802Z   Support:     https://www.rabbitmq.com/docs/contact
rabbitmq-1  | 2026-06-27T16:04:09.928376007Z   Tutorials:   https://www.rabbitmq.com/tutorials
rabbitmq-1  | 2026-06-27T16:04:09.928379144Z   Monitoring:  https://www.rabbitmq.com/docs/monitoring
rabbitmq-1  | 2026-06-27T16:04:09.928382237Z   Upgrading:   https://www.rabbitmq.com/docs/upgrade
rabbitmq-1  | 2026-06-27T16:04:09.928385362Z 
rabbitmq-1  | 2026-06-27T16:04:09.928388336Z   Logs: <stdout>
rabbitmq-1  | 2026-06-27T16:04:09.928391773Z 
rabbitmq-1  | 2026-06-27T16:04:09.928394702Z   Config file(s): /etc/rabbitmq/conf.d/10-defaults.conf
rabbitmq-1  | 2026-06-27T16:04:09.928397897Z 
rabbitmq-1  | 2026-06-27T16:04:09.929869330Z   Starting broker...2026-06-27 16:04:09.928837+00:00 [info] <0.254.0> [0m
rabbitmq-1  | 2026-06-27T16:04:09.929890826Z 2026-06-27 16:04:09.928837+00:00 [info] <0.254.0>  node           : rabbit@cbed70e1a17b[0m
rabbitmq-1  | 2026-06-27T16:04:09.929895352Z 2026-06-27 16:04:09.928837+00:00 [info] <0.254.0>  home dir       : /var/lib/rabbitmq[0m
rabbitmq-1  | 2026-06-27T16:04:09.929899076Z 2026-06-27 16:04:09.928837+00:00 [info] <0.254.0>  config file(s) : /etc/rabbitmq/conf.d/10-defaults.conf[0m
rabbitmq-1  | 2026-06-27T16:04:09.929902653Z 2026-06-27 16:04:09.928837+00:00 [info] <0.254.0>  cookie hash    : xLaMhI8yaMV+eyCZcCzN0Q==[0m
rabbitmq-1  | 2026-06-27T16:04:09.929906431Z 2026-06-27 16:04:09.928837+00:00 [info] <0.254.0>  log(s)         : <stdout>[0m
rabbitmq-1  | 2026-06-27T16:04:09.929922824Z 2026-06-27 16:04:09.928837+00:00 [info] <0.254.0>  data dir       : /var/lib/rabbitmq/mnesia/rabbit@cbed70e1a17b[0m
rabbitmq-1  | 2026-06-27T16:04:11.554252535Z 2026-06-27 16:04:11.553754+00:00 [info] <0.254.0> Running boot step pre_boot defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:11.554293130Z 2026-06-27 16:04:11.553966+00:00 [info] <0.254.0> Running boot step rabbit_global_counters defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:11.555018063Z 2026-06-27 16:04:11.554752+00:00 [info] <0.254.0> Running boot step rabbit_osiris_metrics defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:11.555183957Z 2026-06-27 16:04:11.554968+00:00 [info] <0.254.0> Running boot step rabbit_core_metrics defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:11.556966066Z 2026-06-27 16:04:11.556159+00:00 [info] <0.254.0> Running boot step rabbit_alarm defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:11.576705352Z 2026-06-27 16:04:11.576367+00:00 [info] <0.331.0> Memory high watermark set to 3103 MiB (3254635724 bytes) of 7759 MiB (8136589312 bytes) total[0m
rabbitmq-1  | 2026-06-27T16:04:11.582651354Z 2026-06-27 16:04:11.582223+00:00 [info] <0.333.0> Enabling free disk space monitoring (disk free space: 993456525312, total memory: 8136589312)[0m
rabbitmq-1  | 2026-06-27T16:04:11.583045779Z 2026-06-27 16:04:11.582369+00:00 [info] <0.333.0> Disk free limit set to 50MB[0m
rabbitmq-1  | 2026-06-27T16:04:11.586170918Z 2026-06-27 16:04:11.585663+00:00 [info] <0.254.0> Running boot step code_server_cache defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:11.586450100Z 2026-06-27 16:04:11.585869+00:00 [info] <0.254.0> Running boot step file_handle_cache defined by app rabbit[0m
rabbitmq-1  | 2026-06-27T16:04:11.603484548Z 2026-06-27 16:04:11.602967+00:00 [info] <0.336.0> Limiting to approx 1048479 file handles (943629 sockets)[0m
rabbitmq-1  | 2026-06-27T16:04:11.603517326Z 2026-06-27 16:04:11.603217+00:00 [info] <0.337.0> FHC read buffering: OFF[0m
rabbitmq-1  | 2026-06-27T16:04:11.604059508Z 2026-06-27 16:04:11.603309+00:00 [info] <0.337.0> FHC write buffering: ON[0m
