settlement-worker-1  | 2026-06-27T16:16:01.474966615Z {"timestamp":"2026-06-27T16:16:01.474632183Z","level":"ERROR","msg":"failed to initialize OpenTelemetry resource","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","error.message":"error detecting resource: user: Current requires cgo or $USER set in environment"}
settlement-worker-1  | 2026-06-27T16:16:01.476372282Z {"timestamp":"2026-06-27T16:16:01.476165838Z","level":"INFO","msg":"settlement-worker started","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","trade_settlement_url":"http://trade-settlement:9092","rabbitmq_exchange":"eve.trade.settlement","rabbitmq_queue":"eve.trade.settlement.commands"}
settlement-worker-1  | 2026-06-27T16:16:01.476746469Z {"timestamp":"2026-06-27T16:16:01.476226336Z","level":"INFO","msg":"settlement-worker health server listening","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","addr":":8082"}
settlement-worker-1  | 2026-06-27T16:16:01.610151003Z {"timestamp":"2026-06-27T16:16:01.609968119Z","level":"INFO","msg":"settlement worker consuming rabbitmq commands","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","queue":"eve.trade.settlement.commands","prefetch":8}
settlement-worker-1  | 2026-06-27T16:16:36.287221556Z {"timestamp":"2026-06-27T16:16:36.286958432Z","level":"WARN","msg":"settlement command failed","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","idempotency_key":"accept-722182fe-85c1-480b-896e-7eb66ede848b","error.message":"failed_precondition: wallet 534b31e2-a5af-47e0-9897-296d12277e0d has 50, requested 100"}
settlement-worker-1  | 2026-06-27T16:16:43.675534024Z {"timestamp":"2026-06-27T16:16:43.675320383Z","level":"WARN","msg":"settlement command failed","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","idempotency_key":"accept-9a1dbbf2-0312-42a6-b76c-39baafae99c1","error.message":"failed_precondition: wallet ce134ec6-1876-49ec-94f7-32ef33dfde7a has 50, requested 100"}
settlement-worker-1  | 2026-06-27T16:16:43.939231705Z {"timestamp":"2026-06-27T16:16:43.939004648Z","level":"WARN","msg":"settlement command failed","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","idempotency_key":"accept-99e226f4-b6fc-41a3-8284-012bab11eeb0","error.message":"failed_precondition: wallet 185c56f6-c628-4c35-b6c7-e2691fb782ae has 50, requested 100"}
settlement-worker-1  | 2026-06-27T16:16:44.184880267Z {"timestamp":"2026-06-27T16:16:44.184717136Z","level":"WARN","msg":"settlement command failed","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","idempotency_key":"accept-9bafb945-5161-4d20-87cc-82669ef4d9cf","error.message":"failed_precondition: wallet 84faba4b-66fd-454f-a522-471ab26166fa has 50, requested 100"}
settlement-worker-1  | 2026-06-27T16:16:44.432761201Z {"timestamp":"2026-06-27T16:16:44.432436507Z","level":"WARN","msg":"settlement command failed","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","idempotency_key":"accept-61ac1912-6217-4e79-bfd4-8b00470f290e","error.message":"failed_precondition: wallet 8ac38bd5-cd23-4218-9c77-89a93c496f74 has 50, requested 100"}
settlement-worker-1  | 2026-06-27T16:16:44.737998000Z {"timestamp":"2026-06-27T16:16:44.737746751Z","level":"WARN","msg":"settlement command failed","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","idempotency_key":"accept-e664685c-9729-42b3-b279-1a0f937db071","error.message":"failed_precondition: wallet 9018c6ce-542c-4326-897f-931f3459bac9 has 50, requested 100"}
settlement-worker-1  | 2026-06-27T16:16:45.044353434Z {"timestamp":"2026-06-27T16:16:45.044182228Z","level":"WARN","msg":"settlement command failed","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","idempotency_key":"accept-25898b2e-6a99-49dd-877e-b8683890e96e","error.message":"failed_precondition: wallet 5055af6d-bbe4-4929-b929-e8d11ff431c3 has 50, requested 100"}
