otel-collector-1  | 2026-06-28T03:37:40.163183505Z {"level":"info","ts":"2026-06-28T03:37:40.162Z","caller":"otelconftelemetry/tracer.go:47","msg":"Internal trace telemetry disabled","resource":{"service.instance.id":"ded92906-d306-4f6a-9f1b-5612c7150edc","service.name":"otelcol-contrib","service.version":"0.153.0"}}
otel-collector-1  | 2026-06-28T03:37:40.164248172Z {"level":"info","ts":"2026-06-28T03:37:40.164Z","caller":"memorylimiter@v0.153.0/memorylimiter.go:71","msg":"Memory limiter configured","resource":{"service.instance.id":"ded92906-d306-4f6a-9f1b-5612c7150edc","service.name":"otelcol-contrib","service.version":"0.153.0"},"otelcol.component.kind":"processor","limit_mib":256,"spike_limit_mib":64,"check_interval":1}
otel-collector-1  | 2026-06-28T03:37:40.165810154Z {"level":"info","ts":"2026-06-28T03:37:40.165Z","caller":"service@v0.153.0/service.go:241","msg":"Starting otelcol-contrib...","resource":{"service.instance.id":"ded92906-d306-4f6a-9f1b-5612c7150edc","service.name":"otelcol-contrib","service.version":"0.153.0"},"Version":"0.153.0","NumCPU":16}
otel-collector-1  | 2026-06-28T03:37:40.165826698Z {"level":"info","ts":"2026-06-28T03:37:40.165Z","caller":"extensions/extensions.go:41","msg":"Starting extensions...","resource":{"service.instance.id":"ded92906-d306-4f6a-9f1b-5612c7150edc","service.name":"otelcol-contrib","service.version":"0.153.0"}}
otel-collector-1  | 2026-06-28T03:37:40.165829410Z {"level":"info","ts":"2026-06-28T03:37:40.165Z","caller":"extensions/extensions.go:45","msg":"Extension is starting...","resource":{"service.instance.id":"ded92906-d306-4f6a-9f1b-5612c7150edc","service.name":"otelcol-contrib","service.version":"0.153.0"},"otelcol.component.id":"health_check","otelcol.component.kind":"extension"}
otel-collector-1  | 2026-06-28T03:37:40.165999824Z {"level":"info","ts":"2026-06-28T03:37:40.165Z","caller":"healthcheckextension@v0.153.0/healthcheckextension.go:32","msg":"Starting health_check extension","resource":{"service.instance.id":"ded92906-d306-4f6a-9f1b-5612c7150edc","service.name":"otelcol-contrib","service.version":"0.153.0"},"otelcol.component.id":"health_check","otelcol.component.kind":"extension","config":{"NetAddr":{"Endpoint":"0.0.0.0:13133","Transport":"tcp","DialerConfig":{"Timeout":0}},"TLS":{},"CORS":{},"Auth":{},"MaxRequestBodySize":0,"IncludeMetadata":false,"ResponseHeaders":null,"CompressionAlgorithms":null,"ReadTimeout":0,"ReadHeaderTimeout":0,"WriteTimeout":0,"IdleTimeout":0,"Middlewares":null,"KeepAlivesEnabled":false,"Path":"/","ResponseBody":null,"CheckCollectorPipeline":{"Enabled":false,"Interval":"5m","ExporterFailureThreshold":5},"UseV2":false,"GRPCConfig":null,"HTTPConfig":null,"ComponentHealthConfig":null}}
otel-collector-1  | 2026-06-28T03:37:40.166233062Z {"level":"info","ts":"2026-06-28T03:37:40.166Z","caller":"extensions/extensions.go:62","msg":"Extension started.","resource":{"service.instance.id":"ded92906-d306-4f6a-9f1b-5612c7150edc","service.name":"otelcol-contrib","service.version":"0.153.0"},"otelcol.component.id":"health_check","otelcol.component.kind":"extension"}
otel-collector-1  | 2026-06-28T03:37:40.171405495Z {"level":"info","ts":"2026-06-28T03:37:40.166Z","caller":"otlpreceiver@v0.153.0/otlp.go:120","msg":"Starting GRPC server","resource":{"service.instance.id":"ded92906-d306-4f6a-9f1b-5612c7150edc","service.name":"otelcol-contrib","service.version":"0.153.0"},"otelcol.component.id":"otlp","otelcol.component.kind":"receiver","endpoint":"[::]:4317"}
otel-collector-1  | 2026-06-28T03:37:40.171425842Z {"level":"info","ts":"2026-06-28T03:37:40.171Z","caller":"otlpreceiver@v0.153.0/otlp.go:175","msg":"Starting HTTP server","resource":{"service.instance.id":"ded92906-d306-4f6a-9f1b-5612c7150edc","service.name":"otelcol-contrib","service.version":"0.153.0"},"otelcol.component.id":"otlp","otelcol.component.kind":"receiver","endpoint":"[::]:4318"}
otel-collector-1  | 2026-06-28T03:37:40.171631102Z {"level":"info","ts":"2026-06-28T03:37:40.171Z","caller":"healthcheck/handler.go:131","msg":"Health Check state change","resource":{"service.instance.id":"ded92906-d306-4f6a-9f1b-5612c7150edc","service.name":"otelcol-contrib","service.version":"0.153.0"},"otelcol.component.id":"health_check","otelcol.component.kind":"extension","status":"ready"}
otel-collector-1  | 2026-06-28T03:37:40.171642960Z {"level":"info","ts":"2026-06-28T03:37:40.171Z","caller":"service@v0.153.0/service.go:264","msg":"Everything is ready. Begin running and processing data.","resource":{"service.instance.id":"ded92906-d306-4f6a-9f1b-5612c7150edc","service.name":"otelcol-contrib","service.version":"0.153.0"}}
