api-gateway-1  | 2026-06-28T03:36:12.489530580Z {"timestamp":"2026-06-28T03:36:12.489267439Z","level":"INFO","msg":"OpenTelemetry initialized","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"runtime-verification","service_name":"api-gateway"}
api-gateway-1  | 2026-06-28T03:36:12.489910411Z {"timestamp":"2026-06-28T03:36:12.489673306Z","level":"INFO","msg":"api-gateway Quilkin UDP listener active","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"runtime-verification","addr":":26000"}
api-gateway-1  | 2026-06-28T03:36:12.489930840Z {"timestamp":"2026-06-28T03:36:12.489689898Z","level":"INFO","msg":"api-gateway listening","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"runtime-verification","addr":":8080","market_url":"http://market:8081"}
api-gateway-1  | 2026-06-28T03:36:17.463433510Z {"timestamp":"2026-06-28T03:36:17.46325524Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
api-gateway-1  | 2026-06-28T03:36:21.466643819Z {"timestamp":"2026-06-28T03:36:21.466446278Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
api-gateway-1  | 2026-06-28T03:36:37.055581314Z {"timestamp":"2026-06-28T03:36:37.055304056Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
api-gateway-1  | 2026-06-28T03:36:37.055611949Z {"timestamp":"2026-06-28T03:36:37.05539439Z","level":"INFO","msg":"failed to upload metrics: Post \"http://otel-collector:4318/v1/metrics\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
api-gateway-1  | 2026-06-28T03:36:40.388220841Z {"timestamp":"2026-06-28T03:36:40.388006637Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"runtime-verification","remote":"172.20.0.8","bytes":581}
api-gateway-1  | 2026-06-28T03:36:40.544044594Z {"timestamp":"2026-06-28T03:36:40.543872719Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"runtime-verification","remote":"172.20.0.8","interaction_id":"issue-e5fac3b3-07f2-4ddc-a810-3ac291949029","duration_ms":155}
api-gateway-1  | 2026-06-28T03:36:41.471189593Z {"timestamp":"2026-06-28T03:36:41.470989476Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
api-gateway-1  | 2026-06-28T03:36:56.286307626Z {"timestamp":"2026-06-28T03:36:56.286103264Z","level":"INFO","msg":"traces export: Post \"http://otel-collector:4318/v1/traces\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
