market-1  | 2026-06-28T03:36:09.796151878Z {"timestamp":"2026-06-28T03:36:09.795854355Z","level":"INFO","msg":"OpenTelemetry initialized","service.name":"market","service.version":"local","service.language":"go","observability.run_id":"runtime-verification","service_name":"market"}
market-1  | 2026-06-28T03:36:09.822890793Z {"timestamp":"2026-06-28T03:36:09.822634968Z","level":"INFO","msg":"market service listening","service.name":"market","service.version":"local","service.language":"go","observability.run_id":"runtime-verification","addr":":8081","settlement_transport":"rabbitmq","trade_settlement_url":"http://trade-settlement:9092"}
market-1  | 2026-06-28T03:36:14.762567383Z {"timestamp":"2026-06-28T03:36:14.762393896Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"market","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
market-1  | 2026-06-28T03:36:18.750615711Z {"timestamp":"2026-06-28T03:36:18.750415142Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"market","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
market-1  | 2026-06-28T03:36:22.765474512Z {"timestamp":"2026-06-28T03:36:22.765236069Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"market","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
market-1  | 2026-06-28T03:36:30.767225244Z {"timestamp":"2026-06-28T03:36:30.766795572Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"market","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
market-1  | 2026-06-28T03:36:30.767258051Z {"timestamp":"2026-06-28T03:36:30.766990987Z","level":"INFO","msg":"failed to upload metrics: Post \"http://otel-collector:4318/v1/metrics\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"market","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
market-1  | 2026-06-28T03:36:34.745170820Z {"timestamp":"2026-06-28T03:36:34.744962885Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"market","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
market-1  | 2026-06-28T03:36:38.745818979Z {"timestamp":"2026-06-28T03:36:38.745362784Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"market","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
market-1  | 2026-06-28T03:36:42.741320078Z {"timestamp":"2026-06-28T03:36:42.741071612Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"market","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
market-1  | 2026-06-28T03:36:42.741386181Z {"timestamp":"2026-06-28T03:36:42.741188175Z","level":"INFO","msg":"failed to upload metrics: Post \"http://otel-collector:4318/v1/metrics\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"market","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
market-1  | 2026-06-28T03:36:50.746093518Z {"timestamp":"2026-06-28T03:36:50.745782543Z","level":"INFO","msg":"traces export: Post \"http://otel-collector:4318/v1/traces\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"market","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
