settlement-worker-1  | 2026-06-28T03:36:01.102818247Z {"timestamp":"2026-06-28T03:36:01.102556515Z","level":"INFO","msg":"OpenTelemetry initialized","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification","service_name":"settlement-worker"}
settlement-worker-1  | 2026-06-28T03:36:01.103283385Z {"timestamp":"2026-06-28T03:36:01.103132683Z","level":"INFO","msg":"settlement-worker started","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification","trade_settlement_url":"http://trade-settlement:9092","rabbitmq_exchange":"eve.trade.settlement","rabbitmq_queue":"eve.trade.settlement.commands"}
settlement-worker-1  | 2026-06-28T03:36:01.103296956Z {"timestamp":"2026-06-28T03:36:01.103178228Z","level":"INFO","msg":"settlement-worker health server listening","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification","addr":":8082"}
settlement-worker-1  | 2026-06-28T03:36:01.104496239Z {"timestamp":"2026-06-28T03:36:01.104302442Z","level":"WARN","msg":"settlement worker rabbitmq session ended; reconnecting","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification","error.message":"connect to rabbitmq: dial tcp 172.20.0.2:5672: connect: connection refused","backoff":1000000000}
settlement-worker-1  | 2026-06-28T03:36:02.106255380Z {"timestamp":"2026-06-28T03:36:02.105993041Z","level":"WARN","msg":"settlement worker rabbitmq session ended; reconnecting","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification","error.message":"connect to rabbitmq: dial tcp 172.20.0.2:5672: connect: connection refused","backoff":2000000000}
settlement-worker-1  | 2026-06-28T03:36:04.108017129Z {"timestamp":"2026-06-28T03:36:04.107788676Z","level":"WARN","msg":"settlement worker rabbitmq session ended; reconnecting","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification","error.message":"connect to rabbitmq: dial tcp 172.20.0.2:5672: connect: connection refused","backoff":4000000000}
settlement-worker-1  | 2026-06-28T03:36:08.122049610Z {"timestamp":"2026-06-28T03:36:08.12183913Z","level":"INFO","msg":"settlement worker consuming rabbitmq commands","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification","queue":"eve.trade.settlement.commands","prefetch":8}
settlement-worker-1  | 2026-06-28T03:36:10.087113167Z {"timestamp":"2026-06-28T03:36:10.086780128Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
settlement-worker-1  | 2026-06-28T03:36:14.042833334Z {"timestamp":"2026-06-28T03:36:14.042641345Z","level":"INFO","msg":"traces export: Post \"http://otel-collector:4318/v1/traces\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
settlement-worker-1  | 2026-06-28T03:36:14.042862144Z {"timestamp":"2026-06-28T03:36:14.042728739Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
settlement-worker-1  | 2026-06-28T03:36:18.010226208Z {"timestamp":"2026-06-28T03:36:18.010055766Z","level":"INFO","msg":"failed to upload metrics: Post \"http://otel-collector:4318/v1/metrics\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
