simulator-1  | 2026-06-27T16:16:13.199530731Z Operations to perform:
simulator-1  | 2026-06-27T16:16:13.199562298Z   Apply all migrations: admin, auth, contenttypes, sessions, trade_gui
simulator-1  | 2026-06-27T16:16:13.199565529Z Running migrations:
simulator-1  | 2026-06-27T16:16:13.199567609Z   No migrations to apply.
simulator-1  | 2026-06-27T16:16:14.209169305Z seeded 7 trade GUI buttons
simulator-1  | 2026-06-27T16:16:14.927903106Z Watching for file changes with StatReloader
simulator-1  | 2026-06-27T16:16:15.168289584Z [27/Jun/2026 16:16:15] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:17.295971609Z [27/Jun/2026 16:16:17] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:19.435563340Z [27/Jun/2026 16:16:19] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:21.577273543Z [27/Jun/2026 16:16:21] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:23.696674002Z [27/Jun/2026 16:16:23] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:25.808393985Z [27/Jun/2026 16:16:25] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:27.964742792Z [27/Jun/2026 16:16:27] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:29.643476648Z [27/Jun/2026 16:16:29] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:29.798085590Z [27/Jun/2026 16:16:29] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:29.889945284Z [27/Jun/2026 16:16:29] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1210
simulator-1  | 2026-06-27T16:16:30.077775618Z [27/Jun/2026 16:16:30] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:30.100047229Z [27/Jun/2026 16:16:30] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:30.118342376Z [27/Jun/2026 16:16:30] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1210
simulator-1  | 2026-06-27T16:16:30.273444175Z [27/Jun/2026 16:16:30] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:30.330910560Z [27/Jun/2026 16:16:30] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1210
simulator-1  | 2026-06-27T16:16:30.491246079Z [27/Jun/2026 16:16:30] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:30.508333716Z [27/Jun/2026 16:16:30] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1037
simulator-1  | 2026-06-27T16:16:30.683284319Z [27/Jun/2026 16:16:30] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:30.700838308Z [27/Jun/2026 16:16:30] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1039
simulator-1  | 2026-06-27T16:16:30.885557502Z [27/Jun/2026 16:16:30] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:30.901215352Z [27/Jun/2026 16:16:30] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1059
simulator-1  | 2026-06-27T16:16:31.087909741Z [27/Jun/2026 16:16:31] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:31.101914596Z [27/Jun/2026 16:16:31] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1058
simulator-1  | 2026-06-27T16:16:31.296751234Z [27/Jun/2026 16:16:31] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:31.313335491Z [27/Jun/2026 16:16:31] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1061
simulator-1  | 2026-06-27T16:16:31.501252583Z [27/Jun/2026 16:16:31] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:31.517152907Z [27/Jun/2026 16:16:31] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1044
simulator-1  | 2026-06-27T16:16:31.692114266Z [27/Jun/2026 16:16:31] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:31.723393083Z [27/Jun/2026 16:16:31] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:31.868073114Z [27/Jun/2026 16:16:31] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:31.901368317Z [27/Jun/2026 16:16:31] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:31.996762519Z [27/Jun/2026 16:16:31] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1232
simulator-1  | 2026-06-27T16:16:32.143483370Z [27/Jun/2026 16:16:32] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:32.178014547Z [27/Jun/2026 16:16:32] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:32.229225650Z [27/Jun/2026 16:16:32] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:32.263398879Z [27/Jun/2026 16:16:32] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1232
simulator-1  | 2026-06-27T16:16:32.449202767Z [27/Jun/2026 16:16:32] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:32.487399329Z [27/Jun/2026 16:16:32] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:32.529056545Z [27/Jun/2026 16:16:32] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1232
simulator-1  | 2026-06-27T16:16:32.689268614Z [27/Jun/2026 16:16:32] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:32.725105196Z [27/Jun/2026 16:16:32] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:32.815543910Z [27/Jun/2026 16:16:32] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1232
simulator-1  | 2026-06-27T16:16:32.983801650Z [27/Jun/2026 16:16:32] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:33.016339248Z [27/Jun/2026 16:16:33] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:33.099763394Z [27/Jun/2026 16:16:33] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1304
simulator-1  | 2026-06-27T16:16:33.281992073Z [27/Jun/2026 16:16:33] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:33.331968745Z [27/Jun/2026 16:16:33] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1213
simulator-1  | 2026-06-27T16:16:33.460931355Z [27/Jun/2026 16:16:33] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1232
simulator-1  | 2026-06-27T16:16:33.636604646Z [27/Jun/2026 16:16:33] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:33.674893307Z [27/Jun/2026 16:16:33] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1213
simulator-1  | 2026-06-27T16:16:33.763507015Z [27/Jun/2026 16:16:33] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1232
simulator-1  | 2026-06-27T16:16:33.928989785Z [27/Jun/2026 16:16:33] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:33.967779009Z [27/Jun/2026 16:16:33] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1213
simulator-1  | 2026-06-27T16:16:34.008326283Z [27/Jun/2026 16:16:34] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1232
simulator-1  | 2026-06-27T16:16:34.172035319Z [27/Jun/2026 16:16:34] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:34.207374438Z [27/Jun/2026 16:16:34] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1213
simulator-1  | 2026-06-27T16:16:34.290778161Z [27/Jun/2026 16:16:34] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1232
simulator-1  | 2026-06-27T16:16:34.352687165Z [27/Jun/2026 16:16:34] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:34.451652421Z [27/Jun/2026 16:16:34] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:34.492052011Z [27/Jun/2026 16:16:34] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:34.580247388Z [27/Jun/2026 16:16:34] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1232
simulator-1  | 2026-06-27T16:16:34.726611542Z [27/Jun/2026 16:16:34] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:34.754985815Z [27/Jun/2026 16:16:34] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1213
simulator-1  | 2026-06-27T16:16:34.830121260Z [27/Jun/2026 16:16:34] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1232
simulator-1  | 2026-06-27T16:16:34.973057025Z [27/Jun/2026 16:16:34] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:35.001948842Z [27/Jun/2026 16:16:35] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:35.074757863Z [27/Jun/2026 16:16:35] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1232
simulator-1  | 2026-06-27T16:16:35.211689494Z [27/Jun/2026 16:16:35] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:35.242978312Z [27/Jun/2026 16:16:35] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:35.281970242Z [27/Jun/2026 16:16:35] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1232
simulator-1  | 2026-06-27T16:16:35.421257498Z [27/Jun/2026 16:16:35] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:35.449455747Z [27/Jun/2026 16:16:35] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:35.463916115Z [27/Jun/2026 16:16:35] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1093
simulator-1  | 2026-06-27T16:16:35.699005438Z [27/Jun/2026 16:16:35] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:35.735010401Z [27/Jun/2026 16:16:35] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:35.754444983Z [27/Jun/2026 16:16:35] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1058
simulator-1  | 2026-06-27T16:16:35.969132879Z [27/Jun/2026 16:16:35] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
simulator-1  | 2026-06-27T16:16:36.010672184Z [27/Jun/2026 16:16:36] "POST /api/gui/buttons/1/press/ HTTP/1.1" 202 1211
simulator-1  | 2026-06-27T16:16:36.031651668Z [27/Jun/2026 16:16:36] "POST /api/gui/buttons/2/press/ HTTP/1.1" 202 1060
simulator-1  | 2026-06-27T16:16:36.227181342Z [27/Jun/2026 16:16:36] "GET /api/gui/buttons/ HTTP/1.1" 200 2786
